institution_name,grad_rate,basic,student_count,spending_per_award,full_time_pct,full_time_count,med_sat_value,aid_value,endow_value,grad_on_time_pct,pell_value,fresh_retain_value,full_time_fac_pct,flagship_binary,EndowXSpend,PellXSat,RetainXSat,AidXSat,AidXEndow
University of Illinois at Springfield,0.281,Masters Colleges and Universities--larger programs,3039,54990,0.648,2436,1085,6905,3068,0.28,0.368,0.743,0.595,0,168709320,399.28,806.155,7491925,21184540
Southern Illinois University at Carbondale,0.322,Research Universities--high research activity,13306,105932,0.887,11780,1032,8797,6447,0.23,0.433,0.604,0.873,0,682943604,446.856,623.328,9078504,56714259
Southern Illinois University at Edwardsville,0.211,Masters Colleges and Universities--larger programs,11229,80032,0.851,10364,1050,6099,1512,0.27,0.356,0.693,0.693,0,121008384,373.8,727.65,6403950,9221688
Western Illinois University,0.244,Masters Colleges and Universities--larger programs,9873,68664,0.892,9526,970,7051,2988,0.29,0.428,0.634,0.903,0,205168032,415.16,614.98,6839470,21068388
Ball State University,0.2,Research Universities--high research activity,16300,65091,0.928,16423,1053,8528,8466,0.35,0.346,0.784,0.82,0,551060406,364.338,825.552,8979984,72198048
Indiana University-Purdue University at Fort Wayne,0.167,Masters Colleges and Universities--larger programs,12928,56989,0.574,9684,996,5472,4586,0.05,0.367,0.672,0.431,0,261351554,365.532,669.312,5450112,25094592
Indiana University-Purdue University at Indianapolis,0.228,Research Universities--high research activity,22409,102349,0.748,18906,1013,7669,26169,0.15,0.366,0.719,0.705,0,2678370981,370.758,728.347,7768697,200690061
University of Southern Indiana,0.181,Masters Colleges and Universities--larger programs,8913,43190,0.827,8925,1004,9369,3890,0.14,0.323,0.688,0.502,0,168009100,324.292,690.752,9406476,36445410
Indiana State University,0.164,Doctoral/Research Universities,10268,66473,0.889,9490,910,7417,3542,0.22,0.434,0.635,0.691,0,235447366,394.94,577.85,6749470,26271014
Indiana University at Kokomo,0.198,Baccalaureate Colleges--Diverse Fields,3981,49994,0.505,2378,950,4837,2357,0.07,0.319,0.609,0.48,0,117835858,303.05,578.55,4595150,11400809
Indiana University at South Bend,0.157,Masters Colleges and Universities--medium programs,7512,56068,0.53,5191,962,5750,1979,0.05,0.337,0.635,0.56,0,110958572,324.194,610.87,5531500,11379250
Indiana University-Northwest,0.157,Masters Colleges and Universities--medium programs,5904,53831,0.546,4034,918,6082,1924,0.07,0.347,0.679,0.447,0,103570844,318.546,623.322,5583276,11701768
Indiana University-Southeast,0.189,Masters Colleges and Universities--larger programs,6148,41458,0.596,4669,950,5520,2762,0.09,0.344,0.608,0.406,0,114506996,326.8,577.6,5244000,15246240
Indiana University East,0.18,Baccalaureate Colleges--Diverse Fields,4326,39193,0.45,2754,943,5307,1832,0.09,0.361,0.675,0.357,0,71801576,340.423,636.525,5004501,9722424
